author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone
VESPER,developer,https://www.cian.ru/sale/flat/307544571/,Москва,sale,flat,2,21,3,157.8,165216600.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307822693/,Москва,sale,flat,9,18,2,66.4,69700000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/300379704/,Москва,sale,flat,2,5,5,141.2,116000000.0,Мещанский,Последний переулок,5С1,Сухаревская,,,,,,,,,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298380230/,Москва,sale,flat,8,19,2,57.7,28388400.0,Щукино, Расплетина,2к1,Октябрьское поле,Театральный квартал,,,,,,,,
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/305729509/,Москва,sale,flat,15,22,4,111.0,36499000.0,Кунцево,Истринская ,8к3,Кунцевская,На Истринской,,,,,,,,
ID 148596,homeowner,https://www.cian.ru/sale/flat/268629674/,Москва,sale,flat,10,10,1,38.5,11280000.0,Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект,,,,,,,,,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/306946314/,Москва,sale,flat,2,6,2,44.2,26078000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence,,,,,,,,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/291925257/,Москва,sale,flat,3,9,3,148.5,189000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,,,,,,,
DOLGOV PRO,real_estate_agent,https://www.cian.ru/sale/flat/294355446/,Москва,sale,flat,10,14,1,28.7,17900000.0,Лефортово,проезд Шелихова,3,Площадь Ильича,Символ,,,,,,,,
Sminex,developer,https://www.cian.ru/sale/flat/306566186/,Москва,sale,flat,3,14,2,90.0,83890000.0,Пресненский,Электрический переулок,1кАБ,Белорусская,Элитный квартал Тишинский бульвар,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306791585/,Москва,sale,flat,6,10,-1,190.5,197000000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300342112/,Москва,sale,flat,40,51,3,78.0,37200000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56",,,,,,,,
Донстрой,developer,https://www.cian.ru/sale/flat/304095085/,Москва,sale,flat,7,19,2,55.8,31934340.0,Хорошево-Мневники,Жилой комплекс остров,4,Мнёвники,Остров,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307940357/,Москва,sale,flat,47,47,4,131.9,59355000.0,Бутырский,Новодмитровская ,2к5,Дмитровская,Савеловский Сити,,,,,,,,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/308929771/,Москва,sale,flat,5,17,2,60.0,18550000.0,Марьино,Новочеркасский бульвар,47,Марьино,,,,,,,,,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/308081007/,Москва,sale,flat,4,6,1,50.2,57228000.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/304304141/,Москва,sale,flat,7,18,3,89.7,98000000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,,,,,,,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/306453110/,Москва,sale,flat,24,26,5,302.0,170000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES,,,,,,,,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040443/,Москва,sale,flat,5,5,3,183.1,174494300.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,154000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/293100672/,Москва,sale,flat,2,5,3,207.4,433877399.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/306067906/,Москва,sale,flat,2,57,2,40.53,26210751.0,Филевский парк,,,Фили,Фили Сити ЖК,,,,,,,,
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/307655813/,Москва,sale,flat,4,5,-1,380.0,600000000.0,Хамовники, Усачева,11К,Спортивная,Садовые кварталы,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307113534/,Москва,sale,flat,16,19,2,45.8,32000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь,,,,,,,,
Среда,developer,https://www.cian.ru/sale/flat/304753663/,Москва,sale,flat,2,44,1,31.61,14381127.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,,,,,,,,
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679729/,Москва,sale,flat,9,20,2,59.0,25370000.0,Даниловский,,,Тульская,Форст ЖК,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/285032815/,Москва,sale,flat,4,12,-1,298.93,750000000.0,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой,,,,,,,,
Главстрой,developer,https://www.cian.ru/sale/flat/307942491/,Москва,sale,flat,7,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК,,,,,,,,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/304316370/,Москва,sale,flat,6,8,4,132.0,71700000.0,Тверской,Тверская ,27С2,Маяковская,,,,,,,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779271/,Москва,sale,flat,4,8,3,70.0,66045781.0,Хамовники,Смоленский бульвар,22/14,Смоленская,,,,,,,,,
ANT Development,developer,https://www.cian.ru/sale/flat/303519403/,Москва,sale,flat,3,10,3,105.8,115430498.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК,,,,,,,,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/304330107/,Москва,sale,flat,11,14,3,242.97,328500000.0,Хамовники, Усачева,11,Спортивная,Садовые кварталы,,,,,,,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/304689665/,Москва,sale,flat,5,6,5,247.7,285000000.0,Пресненский,Никитский бульвар,15/16,Арбатская,,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/308802713/,Москва,sale,flat,2,46,1,34.8,16375836.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК,,,,,,,,
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/300298619/,Москва,sale,flat,8,12,3,136.5,102000000.0,Раменки, Сергея Бондарчука,4,Мичуринский проспект,Река,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307215537/,Москва,sale,flat,3,14,3,138.9,236130000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,,,,,,,,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308473239/,Москва,sale,flat,2,27,2,49.5,21208325.0,Щукино,,,Щукинская,Октябрьское Поле ЖК,,,,,,,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303016439/,Москва,sale,flat,4,5,3,150.8,195000000.0,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11,,,,,,,,
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,32609630.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК,,,,,,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308657569/,Москва,sale,flat,6,7,3,150.3,186000000.0,Пресненский,Садовая-Кудринская ,8-10-12,Баррикадная,,,,,,,,,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/308759283/,Москва,sale,flat,8,11,2,73.4,70000000.0,Тверской,Лесная ,4с1,Белорусская,,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/307999752/,Москва,sale,flat,6,59,2,34.6,13833080.0,Можайский,Верейская ,29С32А,Давыдково,SET,,,,,,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306151519/,Москва,sale,flat,5,8,3,123.0,74800000.0,Тверской,Сущевская ,31,Менделеевская,,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308105474/,Москва,sale,flat,2,4,4,212.1,490000000.0,Раменки,Минская ,2Вк5,Минская,Снегири Эко,,,,,,,,
Мангазея,developer,https://www.cian.ru/sale/flat/308902252/,Москва,sale,flat,9,21,2,74.2,36448375.0,Щукино,Щукинская ,,Щукинская,Интонация,,,,,,,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305909779/,Москва,sale,flat,6,10,2,178.1,150000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра,,,,,,,,
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306500283/,Москва,sale,flat,23,23,-1,202.88,248000000.0,Свиблово,Сельскохозяйственная ,38к2,Ботанический сад,LIFE-Ботанический сад,,,,,,,,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,21798900.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56,,,,,,,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/304519685/,Москва,sale,flat,39,41,2,56.9,39000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,
Ю-Питер,real_estate_agent,https://www.cian.ru/sale/flat/308901152/,Москва,sale,flat,14,16,2,50.5,14000000.0,Отрадное, Бестужевых,13,Отрадное,,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/308909121/,Москва,sale,flat,6,13,1,85.04,130383328.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum,,,,,,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308145024/,Москва,sale,flat,5,6,5,250.0,285000000.0,Пресненский,Никитский бульвар,15/16,Арбатская,,,,,,,,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308417951/,Москва,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/307788196/,Москва,sale,flat,18,47,2,57.84,25912320.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК,,,,,,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308239864/,Москва,sale,flat,1,7,-1,266.5,175000000.0,Покровское-Стрешнево,Береговая ,6,Стрешнево,,,,,,,,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307963741/,Москва,sale,flat,1,16,2,56.0,13750000.0,Очаково-Матвеевское,Матвеевская ,6,Матвеевская,,,,,,,,,
Forma,developer,https://www.cian.ru/sale/flat/299852244/,Москва,sale,flat,16,29,2,65.2,25687170.0,Аэропорт,Часовая ,28к8,Сокол,SOUL,,,,,,,,
Иван Усачев,realtor,https://www.cian.ru/sale/flat/304416823/,Москва,sale,flat,6,7,4,160.0,99999000.0,Тверской,Тверская ,27С2,Маяковская,,,,,,,,,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308801371/,Москва,sale,flat,18,21,-1,190.0,210000000.0,Пресненский,Мантулинская ,9к2,Москва-Сити,City Park,,,,,,,,
Tekta Group,developer,https://www.cian.ru/sale/flat/301259721/,Москва,sale,flat,19,42,3,65.9,30201484.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305274218/,Москва,sale,flat,2,5,2,84.63,139639500.0,Басманный,Потаповский переулок,6С1,Чистые пруды,Абрикосов,,,,,,,,
SELS,real_estate_agent,https://www.cian.ru/sale/flat/308688012/,Москва,sale,flat,5,28,3,94.0,57000000.0,Филевский парк,Береговой проезд,1А,Шелепиха,мой адрес На Береговом,,,,,,,,
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,139410000.0,Якиманка,,,Полянка,Лаврушинский ЖК,,,,,,,,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/307953556/,Москва,sale,flat,4,10,5,200.0,69900000.0,Кунцево, Маршала Тимошенко,17К2,Крылатское,,,,,,,,,
Елена Подстрешная,realtor,https://www.cian.ru/sale/flat/308858083/,Москва,sale,flat,3,28,4,133.2,41500000.0,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом,,,,,,,,
Regions Development,developer,https://www.cian.ru/sale/flat/308070861/,Москва,sale,flat,11,24,2,58.1,,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers,,,,,,,,
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/302154001/,Москва,sale,flat,5,33,3,99.0,48999999.0,Пресненский, Пресненский Вал,27С2,Белорусская,Republic,,,,,,,,
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/291342956/,Москва,sale,flat,6,6,4,169.0,90000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,,,,,,,,,
Absolute Premium,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,60432000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,,,,,,,
ID 65939370,unknown,https://www.cian.ru/sale/flat/307114785/,Москва,sale,flat,3,25,3,131.2,51900000.0,Очаково-Матвеевское,Нежинская ,8К4,Матвеевская,Нежинский ковчег,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307500734/,Москва,sale,flat,5,7,3,125.3,100000000.0,Очаково-Матвеевское,Староволынская ,15к3,Матвеевская,Ближняя дача,,,,,,,,
VESPER,developer,https://www.cian.ru/sale/flat/308110877/,Москва,sale,flat,4,6,3,264.6,661500000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон,,,,,,,,
ID 112609323,realtor,https://www.cian.ru/sale/flat/299517098/,Москва,sale,flat,6,6,5,310.15,325657500.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa,,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298112694/,Москва,sale,flat,4,6,4,216.0,395000000.0,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал",,,,,,,,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196116/,Москва,sale,flat,2,19,2,62.8,25979481.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II,,,,,,,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/304737194/,Москва,sale,flat,3,21,3,92.2,98285200.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306226871/,Москва,sale,flat,3,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/308416300/,Москва,sale,flat,8,9,2,42.8,29005560.0,Марьина роща,,,Марьина Роща,Мод ЖК,,,,,,,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/306942080/,Москва,sale,flat,37,41,3,97.2,72300000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303137027/,Москва,sale,flat,2,5,2,106.0,155000000.0,Тверской,Никольская ,10,Площадь Революции,St. Nickolas,,,,,,,,
Главстрой,developer,https://www.cian.ru/sale/flat/307941294/,Москва,sale,flat,4,20,3,103.7,40291971.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2,,,,,,,,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307575540/,Москва,sale,flat,4,21,2,54.0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,
Среда,developer,https://www.cian.ru/sale/flat/303859420/,Москва,sale,flat,3,13,3,71.3,24567484.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,,,,,,,,
Tekta Group,developer,https://www.cian.ru/sale/flat/305021240/,Москва,sale,flat,24,34,1,30.0,17691000.0,Обручевский,,,Воронцовская,Эвер ЖК,,,,,,,,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303228319/,Москва,sale,flat,5,21,3,116.78,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,
3SGroup,developer,https://www.cian.ru/sale/flat/305952762/,Москва,sale,flat,3,17,1,26.2,7511582.0,,,,Корниловская,FOREVILLE,,,,,,,,
Sminex,developer,https://www.cian.ru/sale/flat/308620026/,Москва,sale,flat,9,14,2,66.9,40210000.0,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden,,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302755985/,Москва,sale,flat,8,12,4,145.0,299000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299927735/,Москва,sale,flat,2,6,3,80.0,82000000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA,,,,,,,,
TOUCH,developer,https://www.cian.ru/sale/flat/302838421/,Москва,sale,flat,7,13,1,45.3,27171760.0,Южнопортовый,,к2,Дубровка,Шампайн ЖК,,,,,,,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,117.0,114000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/302738014/,Москва,sale,flat,2,3,1,43.8,13140000.0,Преображенское,Суворовская ,19С2,Преображенская площадь,,,,,,,,,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/306658016/,Москва,sale,flat,11,23,2,44.1,21442875.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК,,,,,,,,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300973858/,Москва,sale,flat,7,41,3,91.2,80000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,,,,,,,,
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/308927633/,Москва,sale,flat,8,9,3,61.0,27000000.0,Аэропорт, Усиевича,25К1,Сокол,,,,,,,,,
Пионер,developer,https://www.cian.ru/sale/flat/308640077/,Москва,sale,flat,3,11,1,55.8,52675646.0,Даниловский,,,Павелецкая,Опус ЖК,,,,,,,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/307310125/,Москва,sale,flat,3,5,3,112.0,85000000.0,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307403701/,Москва,sale,flat,7,9,3,101.7,69950000.0,Замоскворечье,Вишняковский переулок,23,Новокузнецкая,,,,,,,,,
Sminex,developer,https://www.cian.ru/sale/flat/308620473/,Москва,sale,flat,23,26,1,35.67,21910000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение,,,,,,,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/306203300/,Москва,sale,flat,6,23,4,146.5,55299000.0,Кунцево, Екатерины Будановой,5,Рабочий посёлок,Катрин-Хаус,,,,,,,,
Tekta Group,developer,https://www.cian.ru/sale/flat/306869031/,Москва,sale,flat,16,34,1,31.2,15178800.0,Нагорный,,2,Нагорная,Твелв ЖК,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303214729/,Москва,sale,flat,6,6,4,184.1,82200000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS,,,,,,,,
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301916112/,Москва,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,4С1,Парк Культуры,,,,,,,,,
Основа,developer,https://www.cian.ru/sale/flat/301158827/,Москва,sale,flat,7,28,2,41.3,17106460.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/282554703/,Москва,sale,flat,7,18,3,90.4,45000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь,,,,,,,,
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/295047035/,Москва,sale,flat,4,5,1,15.5,6530000.0,Головинский,Солнечногорская ,7к1,Моссельмаш,,,,,,,,,
EraOneHolding,developer,https://www.cian.ru/sale/flat/306783471/,Москва,sale,flat,3,5,2,178.6,150400000.0,Арбат, Арбат,39,Смоленская,Artisan,,,,,,,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/306547189/,Москва,sale,flat,2,19,3,99.0,53000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы,,,,,,,,
FORMA,developer,https://www.cian.ru/sale/flat/305605376/,Москва,sale,flat,9,33,1,38.27,26322106.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic,,,,,,,,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305284493/,Москва,sale,flat,6,8,4,134.0,71700000.0,Тверской,Тверская ,27С2,Маяковская,,,,,,,,,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298547671/,Москва,sale,flat,4,22,2,66.0,34500000.0,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова,,,,,,,,
Донстрой,developer,https://www.cian.ru/sale/flat/307641754/,Москва,sale,flat,13,21,1,37.7,19147830.0,Лефортово,,,Площадь Ильича,Символ ЖК,,,,,,,,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/308395572/,Москва,sale,flat,11,14,3,100.0,215000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296195763/,Москва,sale,flat,13,44,4,117.0,90000000.0,Раменки,Минская ,2,Минская,Долина Сетунь,,,,,,,,
Level Group,developer,https://www.cian.ru/sale/flat/308715664/,Москва,sale,flat,25,26,2,46.1,19972862.0,Нагатино-Садовники,Нагатинская набережная,,Нагатинская,Level Нагатинская,,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky,,,,,,,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/307091164/,Москва,sale,flat,7,14,4,172.5,129000000.0,Пресненский, Заморенова,21,Краснопресненская,,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/306611541/,Москва,sale,flat,2,59,1,30.4,,Можайский,,,Давыдково,Веер ЖК,,,,,,,,
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/308600747/,Москва,sale,flat,4,14,3,105.0,160000000.0,Хамовники, Усачева,11,Спортивная,Садовые кварталы,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307756097/,Москва,sale,flat,30,37,5,216.4,130000000.0,Тропарево-Никулино,проспект Вернадского,94к1,Тропарёво,Миракс Парк,,,,,,,,
Ташир,developer,https://www.cian.ru/sale/flat/308353694/,Москва,sale,flat,3,21,2,48.1,15680600.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса),,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308747081/,Москва,sale,flat,13,20,3,130.2,155000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,,,,,,,,
Plus Development,developer,https://www.cian.ru/sale/flat/308704170/,Москва,sale,flat,3,23,2,41.5,8342330.0,,,,Филатов Луг,Детали ЖК,,,,,,,,
COLDY,developer,https://www.cian.ru/sale/flat/307965932/,Москва,sale,flat,2,15,1,30.8,26977720.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307432577/,Москва,sale,flat,11,16,3,100.0,215000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,,,,,,,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308163402/,Москва,sale,flat,12,12,4,230.0,460000000.0,Мещанский,Цветной бульвар,2,Трубная,Легенда Цветного,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/306603296/,Москва,sale,flat,7,36,1,40.9,30348986.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,,,,,,,,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301161554/,Москва,sale,flat,3,8,5,222.0,257000000.0,Раменки,Мосфильмовская ,1А,Ломоносовский проспект,Вишневый сад,,,,,,,,
АЙГРИН,developer,https://www.cian.ru/sale/flat/304295911/,Москва,sale,flat,6,14,2,52.73,11862950.0,Силино,проспект Генерала Алексеева,17с1,Зеленоград — Крюково,Апарт-отель Сигма Силино,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/300288940/,Москва,sale,flat,37,54,1,38.99,19328123.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308872981/,Москва,sale,flat,37,37,2,48.0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308345829/,Москва,sale,flat,1,7,5,398.1,170000000.0,Крылатское,Крылатская ,45К3,Крылатское,Долина грез,,,,,,,,
Regions Development,developer,https://www.cian.ru/sale/flat/308071116/,Москва,sale,flat,2,15,2,40.94,18629584.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь,,,,,,,,
